database_logic.py | logger | INFO | Added Successfully | 2024-03-19 16:49:09,895
database_logic.py | logger | INFO | Added Successfully | 2024-03-19 16:49:09,895
database_logic.py | logger | INFO | Added Successfully | 2024-03-19 16:49:09,895
database_logic.py | logger | INFO | Added Successfully | 2024-03-19 16:49:09,895
database_logic.py | logger | INFO | Added Successfully | 2024-03-19 16:49:09,895
database_logic.py | logger | INFO | Added Successfully | 2024-03-19 16:49:09,895
supplier_routes_v2.py | logger | INFO | Supplier Added Successfully | 2024-03-19 16:49:09,896
supplier_routes_v2.py | logger | INFO | Supplier Added Successfully | 2024-03-19 16:49:09,896
supplier_routes_v2.py | logger | INFO | Supplier Added Successfully | 2024-03-19 16:49:09,896
supplier_routes_v2.py | logger | INFO | Supplier Added Successfully | 2024-03-19 16:49:09,896
supplier_routes_v2.py | logger | INFO | Supplier Added Successfully | 2024-03-19 16:49:09,896
supplier_routes_v2.py | logger | INFO | Supplier Added Successfully | 2024-03-19 16:49:09,896
database_logic.py | logger | INFO | Added Successfully | 2024-03-19 16:49:13,207
database_logic.py | logger | INFO | Added Successfully | 2024-03-19 16:49:13,207
database_logic.py | logger | INFO | Added Successfully | 2024-03-19 16:49:13,207
database_logic.py | logger | INFO | Added Successfully | 2024-03-19 16:49:13,207
database_logic.py | logger | INFO | Added Successfully | 2024-03-19 16:49:13,207
database_logic.py | logger | INFO | Added Successfully | 2024-03-19 16:49:13,207
supplier_routes_v2.py | logger | INFO | Supplier Added Successfully | 2024-03-19 16:49:13,209
supplier_routes_v2.py | logger | INFO | Supplier Added Successfully | 2024-03-19 16:49:13,209
supplier_routes_v2.py | logger | INFO | Supplier Added Successfully | 2024-03-19 16:49:13,209
supplier_routes_v2.py | logger | INFO | Supplier Added Successfully | 2024-03-19 16:49:13,209
supplier_routes_v2.py | logger | INFO | Supplier Added Successfully | 2024-03-19 16:49:13,209
supplier_routes_v2.py | logger | INFO | Supplier Added Successfully | 2024-03-19 16:49:13,209
database_logic.py | logger | INFO | Added Successfully | 2024-03-19 16:49:13,692
database_logic.py | logger | INFO | Added Successfully | 2024-03-19 16:49:13,692
database_logic.py | logger | INFO | Added Successfully | 2024-03-19 16:49:13,692
database_logic.py | logger | INFO | Added Successfully | 2024-03-19 16:49:13,692
database_logic.py | logger | INFO | Added Successfully | 2024-03-19 16:49:13,692
database_logic.py | logger | INFO | Added Successfully | 2024-03-19 16:49:13,692
supplier_routes_v2.py | logger | INFO | Supplier Added Successfully | 2024-03-19 16:49:13,694
supplier_routes_v2.py | logger | INFO | Supplier Added Successfully | 2024-03-19 16:49:13,694
supplier_routes_v2.py | logger | INFO | Supplier Added Successfully | 2024-03-19 16:49:13,694
supplier_routes_v2.py | logger | INFO | Supplier Added Successfully | 2024-03-19 16:49:13,694
supplier_routes_v2.py | logger | INFO | Supplier Added Successfully | 2024-03-19 16:49:13,694
supplier_routes_v2.py | logger | INFO | Supplier Added Successfully | 2024-03-19 16:49:13,694
database_logic.py | logger | INFO | Added Successfully | 2024-03-19 16:49:13,867
database_logic.py | logger | INFO | Added Successfully | 2024-03-19 16:49:13,867
database_logic.py | logger | INFO | Added Successfully | 2024-03-19 16:49:13,867
database_logic.py | logger | INFO | Added Successfully | 2024-03-19 16:49:13,867
database_logic.py | logger | INFO | Added Successfully | 2024-03-19 16:49:13,867
database_logic.py | logger | INFO | Added Successfully | 2024-03-19 16:49:13,867
supplier_routes_v2.py | logger | INFO | Supplier Added Successfully | 2024-03-19 16:49:13,869
supplier_routes_v2.py | logger | INFO | Supplier Added Successfully | 2024-03-19 16:49:13,869
supplier_routes_v2.py | logger | INFO | Supplier Added Successfully | 2024-03-19 16:49:13,869
supplier_routes_v2.py | logger | INFO | Supplier Added Successfully | 2024-03-19 16:49:13,869
supplier_routes_v2.py | logger | INFO | Supplier Added Successfully | 2024-03-19 16:49:13,869
supplier_routes_v2.py | logger | INFO | Supplier Added Successfully | 2024-03-19 16:49:13,869
database_logic.py | logger | INFO | Rows Retrieved Successfully | 2024-03-19 17:11:18,431
database_logic.py | logger | INFO | Rows Retrieved Successfully | 2024-03-19 17:11:18,431
database_logic.py | logger | INFO | Rows Retrieved Successfully | 2024-03-19 17:11:18,431
database_logic.py | logger | INFO | Rows Retrieved Successfully | 2024-03-19 17:11:18,431
database_logic.py | logger | INFO | Rows Retrieved Successfully | 2024-03-19 17:11:18,431
database_logic.py | logger | INFO | Rows Retrieved Successfully | 2024-03-19 17:11:18,431
supplier_routes_v2.py | logger | INFO | All Suppliers Successfully Retrieved | 2024-03-19 17:11:18,431
supplier_routes_v2.py | logger | INFO | All Suppliers Successfully Retrieved | 2024-03-19 17:11:18,431
supplier_routes_v2.py | logger | INFO | All Suppliers Successfully Retrieved | 2024-03-19 17:11:18,431
supplier_routes_v2.py | logger | INFO | All Suppliers Successfully Retrieved | 2024-03-19 17:11:18,431
supplier_routes_v2.py | logger | INFO | All Suppliers Successfully Retrieved | 2024-03-19 17:11:18,431
supplier_routes_v2.py | logger | INFO | All Suppliers Successfully Retrieved | 2024-03-19 17:11:18,431
database_logic.py | logger | INFO | Added Successfully | 2024-03-19 17:56:04,641
database_logic.py | logger | INFO | Added Successfully | 2024-03-19 17:56:04,641
database_logic.py | logger | INFO | Added Successfully | 2024-03-19 17:56:04,641
database_logic.py | logger | INFO | Added Successfully | 2024-03-19 17:56:04,641
database_logic.py | logger | INFO | Added Successfully | 2024-03-19 17:56:04,641
database_logic.py | logger | INFO | Added Successfully | 2024-03-19 17:56:04,641
supplier_routes_v2.py | logger | INFO | Supplier Added Successfully | 2024-03-19 17:56:04,644
supplier_routes_v2.py | logger | INFO | Supplier Added Successfully | 2024-03-19 17:56:04,644
supplier_routes_v2.py | logger | INFO | Supplier Added Successfully | 2024-03-19 17:56:04,644
supplier_routes_v2.py | logger | INFO | Supplier Added Successfully | 2024-03-19 17:56:04,644
supplier_routes_v2.py | logger | INFO | Supplier Added Successfully | 2024-03-19 17:56:04,644
supplier_routes_v2.py | logger | INFO | Supplier Added Successfully | 2024-03-19 17:56:04,644
database_logic.py | logger | INFO | Rows Retrieved Successfully | 2024-03-19 17:56:18,736
database_logic.py | logger | INFO | Rows Retrieved Successfully | 2024-03-19 17:56:18,736
database_logic.py | logger | INFO | Rows Retrieved Successfully | 2024-03-19 17:56:18,736
database_logic.py | logger | INFO | Rows Retrieved Successfully | 2024-03-19 17:56:18,736
database_logic.py | logger | INFO | Rows Retrieved Successfully | 2024-03-19 17:56:18,736
database_logic.py | logger | INFO | Rows Retrieved Successfully | 2024-03-19 17:56:18,736
supplier_routes_v2.py | logger | INFO | All Suppliers Successfully Retrieved | 2024-03-19 17:56:18,738
supplier_routes_v2.py | logger | INFO | All Suppliers Successfully Retrieved | 2024-03-19 17:56:18,738
supplier_routes_v2.py | logger | INFO | All Suppliers Successfully Retrieved | 2024-03-19 17:56:18,738
supplier_routes_v2.py | logger | INFO | All Suppliers Successfully Retrieved | 2024-03-19 17:56:18,738
supplier_routes_v2.py | logger | INFO | All Suppliers Successfully Retrieved | 2024-03-19 17:56:18,738
supplier_routes_v2.py | logger | INFO | All Suppliers Successfully Retrieved | 2024-03-19 17:56:18,738
database_logic.py | logger | INFO | Rows Retrieved Successfully | 2024-03-19 17:56:19,608
database_logic.py | logger | INFO | Rows Retrieved Successfully | 2024-03-19 17:56:19,608
database_logic.py | logger | INFO | Rows Retrieved Successfully | 2024-03-19 17:56:19,608
database_logic.py | logger | INFO | Rows Retrieved Successfully | 2024-03-19 17:56:19,608
database_logic.py | logger | INFO | Rows Retrieved Successfully | 2024-03-19 17:56:19,608
database_logic.py | logger | INFO | Rows Retrieved Successfully | 2024-03-19 17:56:19,608
supplier_routes_v2.py | logger | INFO | All Suppliers Successfully Retrieved | 2024-03-19 17:56:19,609
supplier_routes_v2.py | logger | INFO | All Suppliers Successfully Retrieved | 2024-03-19 17:56:19,609
supplier_routes_v2.py | logger | INFO | All Suppliers Successfully Retrieved | 2024-03-19 17:56:19,609
supplier_routes_v2.py | logger | INFO | All Suppliers Successfully Retrieved | 2024-03-19 17:56:19,609
supplier_routes_v2.py | logger | INFO | All Suppliers Successfully Retrieved | 2024-03-19 17:56:19,609
supplier_routes_v2.py | logger | INFO | All Suppliers Successfully Retrieved | 2024-03-19 17:56:19,609
database_logic.py | logger | INFO | Rows Retrieved Successfully | 2024-03-19 17:56:20,257
database_logic.py | logger | INFO | Rows Retrieved Successfully | 2024-03-19 17:56:20,257
database_logic.py | logger | INFO | Rows Retrieved Successfully | 2024-03-19 17:56:20,257
database_logic.py | logger | INFO | Rows Retrieved Successfully | 2024-03-19 17:56:20,257
database_logic.py | logger | INFO | Rows Retrieved Successfully | 2024-03-19 17:56:20,257
database_logic.py | logger | INFO | Rows Retrieved Successfully | 2024-03-19 17:56:20,257
supplier_routes_v2.py | logger | INFO | All Suppliers Successfully Retrieved | 2024-03-19 17:56:20,258
supplier_routes_v2.py | logger | INFO | All Suppliers Successfully Retrieved | 2024-03-19 17:56:20,258
